Artist|Spotify ID|Genres
Sonny James|0c08N8UlFjDaup9TNDaWxy|['country gospel', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']
Steve Lawrence|271pvVqDFiREx6PqzwOX8p|['adult standards', 'brill building pop', 'cabaret', 'christmas', 'deep adult standards', 'easy listening', 'lounge']
The Swallows|2KL7KDeEPo4rOiM94NaWrq|['rhythm and blues']
The Ames Brothers|4oXaAEofJFedGweFqy5qiv|['adult standards', 'christmas', 'deep adult standards', 'vocal harmony group']
Ed Townsend|4fgbkjDCSGUHANHRope4Ox|[]
The Kingston Trio|3qtcbDvdIgQOXkPbtRvBaQ|['american folk revival', 'christmas', 'cowboy western', 'folk', 'folk rock', 'traditional folk']
Cyclones|0lMGPaguinRmGHM8DE4wGI|[]
Lee Allen|1WcgIN2vzf5RBrqd1pMA5q|[]
Dicky Doo|5lTqEWkMzBVszPtCsvr4aT|[]
Betty Johnson|7n5Rqy8aTEBgVUlTo79EKY|['deep adult standards']
Georgia Gibbs|6E8uXyNsUKeGOgRqAOcgBa|['deep adult standards']
Johnny Tillotson|36msvw9B10rxW90NSQ2794|['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'doo-wop', 'merseybeat', 'rock-and-roll', 'rockabilly']
Donnie Owens|5a1p9HEb8mrwIwBgidOlCu|[]
Lord Rockingham's XI|1S3SYJUPpLfBN78jVUrHrb|[]
The Five Blobs|7fYVwwluTOElgXLIpv9liK|[]
Andy Rose|06ACLfhOpR6PYxkMZcHHyT|[]
Jerry Vale|5MaJrqhwysKwbvDePyAS6l|['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'operatic pop', 'vocal jazz']
Mitch Miller|0kLeQeOAEqHdFMUItesuij|['christmas', 'easy listening']
The Royaltones|4TohiTBQiEArgeIjOqxiM9|[]
Tab Hunter|0pVnnK639XgJiMuv10JLRe|[]
Frank Sinatra|1Mxqyy3pSjf8kZZL4QVxS0|['adult standards', 'christmas', 'easy listening', 'lounge']
Jodie Sands|2CwhAAsaeSXrHlA8naUeyV|['deep adult standards']
Louis Prima|52lBOxCxbJg0ttXEW9CQpW|['adult standards', 'christmas', 'jump blues', 'lounge', 'soul', 'swing', 'vocal jazz']
Enoch Light|3bWuJAAUsvSiavkQHpOlLl|['easy listening', 'exotica', 'lounge']
Johnny Otis|5PGt6fQNjLKhYYeGLWKWcM|['jazz blues', 'jump blues', 'rhythm and blues', 'rock-and-roll']
The Fontane Sisters|1Ml4OuStDoympbREURAM15|['deep adult standards', 'vocal harmony group']
Nappy Brown|7oR6vQt8KT2ZWUpC65jTha|['jump blues', 'rhythm and blues']
Johnny Nash|0nAVvgfE9yI4DwvMiYwk8a|[]
Roy Hamilton|03heaC5xiTnpquwHyHXr2s|[]
Bob Kayli|1jpdSwEbSHz2mfZ6tqX527|['deep motown']
Bernie Lowe Orchestra|3BfAt0cAz0CipSmDN91loQ|[]
Billy Grammer|33OmSxFFBOPQL3AcoAFAmA|['deep adult standards']
The Crests|64vw6q9ZBTop3Tf2ol1x4U|['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']
The Four Aces|542GsScaNnc2Ed8yokKLsy|['adult standards', 'brill building pop', 'christmas', 'deep adult standards', 'easy listening', 'lounge', 'vocal harmony group']
June Valli|1KmKEXZocALOJhgHl7VxNi|['deep adult standards']
Dee Clark|6PyZY3e7wgYgRdegqvqhSo|['brill building pop', 'chicago soul', 'doo-wop', 'rhythm and blues']
The Cadillacs|5ye4TzZU2L7cxiQgCZoJUH|['doo-wop', 'rhythm and blues', 'rock-and-roll']
Reg Owen|7CMO7nR8rRU5mqJWmSX2qD|[]
Tony Dallara|4kLoGBk9rZUs8lJmda0IHe|['classic italian pop']
Neil Sedaka|5N6GwJzOcOY5kv8p0NjhYL|['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'doo-wop', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'rockabilly']
LaVern Baker|0V6zo2mJw9FdwWLClKC9yw|['brill building pop', 'doo-wop', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'southern soul']
Lloyd Price|3iOE5ItEv5xr9fmKi7GNh2|['adult standards', 'brill building pop', 'christmas', 'doo-wop', 'louisiana blues', 'memphis blues', 'new orleans blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly']
Augie Rios|1JCtFumetjuzJEnOTBanRC|['christmas']
James Brown|7GaxyUddsPok8BuhxN6OUW|['christmas', 'deep funk', 'funk', 'motown', 'quiet storm', 'soul']
Art Lund|4JHmMsN2Teueurk7xPb0Qa|[]
Eugene Church|3BDouLYmuh1r6CcUJaHPk0|[]
Polly Bergen|0HI9yKqs1Wfi6cqN2kI5m7|[]
Bill Parsons|4yALO4VjeIzGg9c73sLWGL|[]
Bing Crosby|6ZjFtWeHP9XN7FeKSUe80S|['adult standards', 'christmas', 'easy listening']
Ray Charles|1eYhYunlNJlDoQhtYBvPsi|['adult standards', 'christmas', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']
The Accents|4nbJ453Y0kDXpYVvQYq7DJ|[]
The 5 Chanels|2XHwiSqppIEZwWgczxOjGk|[]
Wade Flemons|4dUwbgj6jgmsBTRxVuCLEP|['deep northern soul']
Stan Freberg|31wLmtRSwO4f50DFG8zv4s|['comic']
Jesse Belvin|4u0qFtN4NZ1NjcvAw3HAGU|['rhythm and blues']
Ray Anthony|5YRqxl4KfzKkFBMu408yv6|['big band', 'christmas', 'easy listening', 'exotica', 'lounge', 'swing']
Edmundo Ros|6sVKyrNdC2TTvhvOTTgewi|['ballroom', 'christmas', 'easy listening', 'lounge', 'mambo']
The Mills Brothers|5v8bwWRbu7AI3YFhzoM6Ha|['adult standards', 'big band', 'cabaret', 'christmas', 'lounge', 'swing', 'vocal harmony group', 'vocal jazz']
Jesse Lee Turner|2CS2gr8hLiW2xGbRaxiYZv|[]
Della Reese|63qOOnxbI8rVgpakjpnFBp|['cabaret', 'christmas', 'vocal jazz']
Cyril Stapleton|4iQA65H7eIJD5KzcK6uUxY|[]
Chris Barber's Jazz Band|48CW1rjPSOgZbMsV4LpqoP|['dixieland']
The Four Knights|7wzsyXOEYmwxPXCcposy74|['deep adult standards', 'vocal harmony group']
Billy Williams|7ceeHyhYS3BEfprSJX9WwT|['deep adult standards']
The Flamingos|6iygtKnPG7TRvDaTYcLOd6|['brill building pop', 'doo-wop', 'rhythm and blues']
Linda Laurie|0rHWgE7warZlNN1P8GRxhU|['vintage swoon']
Billy Graves|4fJGz8hNr7Cx8k0n2YvptH|[]
Cathy Carr|0G8da8hOFaTfBLOnqzq3k3|['deep adult standards']
The Mark IV|73eQP9eZMhdjR68qQLJQCZ|['deep classic garage rock']
The Bell Notes|5aeWPt5NxjEZXy5DIXRyxm|[]
Brook Benton|2ttm3uT0N1RN7vwKv1pQgh|['adult standards', 'brill building pop', 'christmas', 'motown', 'rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']
Link Wray|2vQavlZtDA660mnZotYIto|['garage rock', 'native american', 'protopunk', 'psychedelic rock', 'punk blues', 'rock-and-roll', 'rockabilly', 'surf music']
Thomas Wayne|6asabABf4EkunRexD2ECgd|[]
Frankie Ford|7nkIxnGUsFXm89JX9ijD4p|['rhythm and blues', 'rock-and-roll', 'rockabilly']
Nicola Paone|1zmqDtYxHNyMWp9i5gtKpB|[]
Jaye P. Morgan|5pXHBib9XGRDufx8zSc5Wk|['deep adult standards']
The Skyliners|4JeG1IusHcsL2owYnsJ7wk|['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']
Dodie Stevens|3lZh8hoNw1a0RV9hJbMZTs|[]
John Fred|6ivDYbCaDtkJBIRgMubJTu|['swamp pop']
The Chordettes|62GnBjssWSXBlKvQohT2Bk|['adult standards', 'brill building pop', 'classic girl group', 'doo-wop', 'rock-and-roll', 'vocal harmony group']
Dean Reed|2GFp149Dm0siRh49d2DLwR|[]
The Fleetwoods|673J686eeEXMYJorgQ70lX|['adult standards', 'brill building pop', 'christmas', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'vocal harmony group']
The Virtues|5EJ5quRKXXU9LbrD5qEbrO|[]
Graduates|3rAWPrNdw3f4OgdFzuVIOq|[]
Rod Bernard|43BqXck54700EkPfzu1yex|['swamp pop']
Jimmy Barnes|1k5aZWIOUbUfKcnMxtEivJ|['australian pop', 'australian rock']
Hank Ballard|3R0XvRGDJEL5cGXVLiAbDB|['rhythm and blues']
Eddy Arnold|5QsUbpxSE8lCZ5ga5rnD22|['christmas', 'country gospel', 'cowboy western', 'nashville sound', 'traditional country', 'western swing']
Dave "Baby" Cortez|7fGPj0sGEcZACQTUVbz3NY|['jazz organ']
The Impalas|1OTR9mH8N5qvv4q0LZy3PI|['doo-wop']
Marv Johnson|40PAEtNxO98lBeQHCza9vA|['motown', 'rhythm and blues']
The Intruders|30q5mqJmdYPaKabPMytzvv|['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']
The Quarter Notes|6HtqIZ3hvaexvaAREhDKoF|[]
Diane Maxwell|1wwPtM43pSejqpDDXlxZ7B|[]
Dean|1CoMdr8e41eunTZrr2fDYT|[]
Sammy Turner|7vRKbyzNu0HkFhOmt2ARgV|[]
Tommy Dee|17F1B71K2l6IYwwRrzhuyw|['deep adult standards']
The Genies|0pxIV7HgczzPnHLTPQqsNu|['doo-wop']
The Fiestas|7xL33iiwCzXDSlGhVwg9K2|['doo-wop']
Kathy Linden|7lcxoY1XE4kitd6d6CFPNl|['deep adult standards']
Billy Storm|1ZzYpqlzryQn2FvG9taU1o|[]
Carl Dobkins, Jr.|1oUGzH2pKjHd4fXklQ7Vt4|['deep adult standards']
The Mary Kaye Trio|3OAnW4pgYLDtoAE347CdTv|['lounge', 'song poem']
Wilbert Harrison|7rETVFaF9VOFPmmzsY3kO6|['rhythm and blues', 'rock-and-roll']
Edward Byrnes|3dFdFN11yGDpMjlIy99BdC|['deep adult standards']
The Falcons|7hUrFkKBD1PWTn55l22v90|['rhythm and blues']
David Hill|4Qq5rJ5mqO9DIXo2OPBWG8|['orchestral performance']
Jimmy Beck|2vIg4dmFzojpsHnurNvgio|[]
Tony Bellus|0mzo8CV1TMFNcqGl0JCOcE|['deep adult standards']
Johnny Horton|1bBZcz4jP7CoPlqpCFh4gz|['country', 'country gospel', 'cowboy western', 'nashville sound', 'outlaw country', 'rock-and-roll', 'rockabilly', 'traditional country', 'western swing']
The Trumpeteers|6V98eDTOMAkAIaarYvV3eI|['gospel singers', 'vintage gospel', 'vocal harmony group']
George Jones|2OpqcUtj10HHvGG6h9VYC5|['country', 'country gospel', 'country rock', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country']
Sarah Vaughan|1bgyxtWjZwA5PQlDsvs9b8|['adult standards', 'bebop', 'cabaret', 'christmas', 'cool jazz', 'jazz', 'lounge', 'soul', 'swing', 'vocal jazz']
Ruby Wright|3itKLbs9BhlY2Ek3cY8DHK|[]
Freddy Cannon|1ffNa7yLg0ncUpBm5P03pm|['brill building pop', 'bubblegum pop', 'doo-wop', 'merseybeat', 'rhythm and blues', 'rock-and-roll', 'rockabilly']
The Wailers|6uSKeCyQEhvPC2NODgiqFE|['dub', 'reggae', 'roots reggae', 'ska']
Preston Epps|635NhD8wQskmUJhO2Lidhb|[]
Chubby Checker|7qQJQ3YtcGlqaLg5tcypN2|['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'doo-wop', 'rock-and-roll', 'rockabilly']
Ray Peterson|7BDI9Iqt24gl4RGdS6hWs9|['adult standards', 'brill building pop', 'christmas', 'doo-wop', 'merseybeat', 'rock-and-roll', 'rockabilly']
Al Martino|7egNqIGRldMzifHoh8pib6|['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'vocal jazz']
Dinah Washington|32LHRiof0sa4taYew9i3Fa|['adult standards', 'cabaret', 'christmas', 'jazz blues', 'lounge', 'soul', 'swing', 'vocal jazz']
The Mystics|3IqiRxhyqC3R2STI0RYUOx|['doo-wop']
Vaughn Monroe|5TD3Mad384osX9K8DLkx7L|['adult standards', 'big band', 'cabaret', 'christmas', 'lounge', 'swing']
Big Jay McNeely|5K3FOIJ4gEZlPaJJpqaXmm|['jazz blues', 'jazz saxophone', 'jump blues', 'rhythm and blues']
Don French|2SG40pqggafQEPh0MaYc07|[]
The Frantics|2tFoZJdl5at2N1BWhTe8tt|['comic']
Stonewall Jackson|0NqxUSg57tX1o1WG7VU1Vp|['country gospel', 'cowboy western', 'nashville sound', 'outlaw country', 'traditional country', 'western swing']
Sil Austin|4ZER6Et93aVvfwzaiwjjbI|[]
The Megatrons|6vz994XqqUulkf3I5W2C6a|[]
Carl Mann|2VMEvDcrKKZg96T4QWXIkT|['rock-and-roll', 'rockabilly']
Carl Perkins|5hIClg6noTaCzMu2s5wp4f|['rock-and-roll', 'rockabilly']
